dataset,method,family,seed,fit_time_sec,n_iter,n_model_evals,rmse,converged,error,theta_init_source,zzu_best_transform
exponential_multiplicative,identity,linearized_ols,0,0.00014869899314362556,,,9.59559077936117,,,,
exponential_multiplicative,log_no_smear,linearized_ols,0,7.54329957999289e-05,,,8.98749628134637,,,,
exponential_multiplicative,log_smear,linearized_ols,0,5.672300176229328e-05,,,9.234351907117794,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,0,6.256399501580745e-05,,,634.1929989997033,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,0,4.943599924445152e-05,,,38.173888585181146,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,0,5.212800169829279e-05,,,8.72097274476783,,,,
exponential_multiplicative,power_2_smear,linearized_ols,0,4.640000406652689e-05,,,16.90269499886139,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,0,0.007369489991106093,,,9.128409408717083,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,0,0.006780734998756088,,,9.46685906950986,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,0,0.007789006005623378,,,9.219480062676746,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,0,0.007968928999616764,,,9.640455805093861,,,,
exponential_multiplicative,GD,nonlinear,0,0.08931320800911635,3643.0,25502.0,9.606394356569531,True,,heuristic,
exponential_multiplicative,GN,nonlinear,0,0.0010875430016312748,23.0,162.0,9.601674423984228,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,0,0.001251968991709873,14.0,231.0,9.601674423968067,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,0,0.0018456420075381175,10.0,172.0,9.619112026707226,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,0,0.0008697949961060658,10.0,171.0,9.601674424064818,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,1,5.869800224900246e-05,,,8.00349267855847,,,,
exponential_multiplicative,log_no_smear,linearized_ols,1,4.749099025502801e-05,,,6.646074618685867,,,,
exponential_multiplicative,log_smear,linearized_ols,1,4.017799801658839e-05,,,7.232249601988221,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,1,4.422399797476828e-05,,,97.05957126175754,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,1,3.8735990528948605e-05,,,16.156170824889273,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,1,4.1548992157913744e-05,,,5.687385634450513,,,,
exponential_multiplicative,power_2_smear,linearized_ols,1,3.950599057134241e-05,,,19.162937180871772,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,1,0.007610747998114675,,,6.437530919983386,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,1,0.006939537997823209,,,6.963815055415437,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,1,0.0077129390119807795,,,6.529166571095063,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,1,0.007488478993764147,,,7.133349182085219,,,,
exponential_multiplicative,GD,nonlinear,1,0.12237385900516529,5000.0,35001.0,7.201272016509115,False,,heuristic,
exponential_multiplicative,GN,nonlinear,1,0.0010284640011377633,25.0,176.0,7.206091184322196,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,1,0.0009817829995881766,11.0,189.0,7.206091184174602,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,1,0.0017221309972228482,11.0,172.0,7.21766601897933,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,1,0.0008496619993820786,11.0,171.0,7.206091184281979,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,2,5.615400732494891e-05,,,12.985512246869012,,,,
exponential_multiplicative,log_no_smear,linearized_ols,2,4.695200186688453e-05,,,9.016626156727362,,,,
exponential_multiplicative,log_smear,linearized_ols,2,3.9035992813296616e-05,,,8.362725747212167,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,2,4.2405008571222425e-05,,,64.19288841804816,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,2,3.7731006159447134e-05,,,54.65813884151303,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,2,4.0731989429332316e-05,,,11.702340394678021,,,,
exponential_multiplicative,power_2_smear,linearized_ols,2,3.835999814327806e-05,,,17.062933226067408,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,2,0.006884258007630706,,,9.254797450309358,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,2,0.006904185996972956,,,8.645204909758773,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,2,0.0076985880004940554,,,9.21461584264302,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,2,0.007211490999907255,,,8.522076266419987,,,,
exponential_multiplicative,GD,nonlinear,2,0.12509129599493463,5000.0,35001.0,8.635771731588893,False,,heuristic,
exponential_multiplicative,GN,nonlinear,2,0.000787397992098704,18.0,127.0,8.65801265705926,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,2,0.0012793000059900805,15.0,240.0,8.658012653741832,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,2,0.0016060100024333224,9.0,145.0,8.68642754514181,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,2,0.0007714380044490099,9.0,144.0,8.658012653856256,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,3,5.52549900021404e-05,,,5.982699446604435,,,,
exponential_multiplicative,log_no_smear,linearized_ols,3,4.599199746735394e-05,,,3.309544339142766,,,,
exponential_multiplicative,log_smear,linearized_ols,3,3.9897990063764155e-05,,,3.460572219562704,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,3,4.39200084656477e-05,,,90.52515977937044,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,3,3.98459960706532e-05,,,25.76864479326859,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,3,4.539899236988276e-05,,,4.176555545737535,,,,
exponential_multiplicative,power_2_smear,linearized_ols,3,4.189799074083567e-05,,,17.83493543592672,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,3,0.0068956070026615635,,,3.4359714378180386,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,3,0.006784123994293623,,,3.7209127411615563,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,3,0.00742307300970424,,,3.4679773416302124,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,3,0.007524444998125546,,,3.7933538990277227,,,,
exponential_multiplicative,GD,nonlinear,3,0.0698057020053966,2778.0,19447.0,3.5539618789608722,True,,heuristic,
exponential_multiplicative,GN,nonlinear,3,0.001009161991532892,23.0,162.0,3.55451129330323,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,3,0.0008929500036174431,10.0,159.0,3.5545112927299165,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,3,0.001551503999507986,8.0,136.0,3.5487356446852565,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,3,0.000688849002472125,8.0,135.0,3.5545112932990586,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,4,5.608500214293599e-05,,,15.379202479606048,,,,
exponential_multiplicative,log_no_smear,linearized_ols,4,4.495900066103786e-05,,,12.71712220383097,,,,
exponential_multiplicative,log_smear,linearized_ols,4,3.804199513979256e-05,,,12.451649898517692,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,4,4.263700975570828e-05,,,44.82872068203786,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,4,3.868099884130061e-05,,,66.14743430120403,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,4,4.066999827045947e-05,,,14.284510494970474,,,,
exponential_multiplicative,power_2_smear,linearized_ols,4,3.786700835917145e-05,,,18.646364788522522,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,4,0.006539038993651047,,,13.015092628516525,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,4,0.006501982992631383,,,12.79502145766615,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,4,0.007407578988932073,,,12.913985560086804,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,4,0.007581683006719686,,,12.650352056355656,,,,
exponential_multiplicative,GD,nonlinear,4,0.12186356999154668,5000.0,35001.0,12.649424331608632,False,,heuristic,
exponential_multiplicative,GN,nonlinear,4,0.0009308000007877126,23.0,162.0,12.65447825330471,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,4,0.0010548660065978765,13.0,211.0,12.654478253306863,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,4,0.001704582988168113,9.0,144.0,12.655195483549495,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,4,0.0007301680016098544,9.0,143.0,12.654478253274366,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,5,5.53010031580925e-05,,,7.6635511153978,,,,
exponential_multiplicative,log_no_smear,linearized_ols,5,4.68969956273213e-05,,,4.304245544930387,,,,
exponential_multiplicative,log_smear,linearized_ols,5,3.9498991100117564e-05,,,4.538584134873484,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,5,4.3576990719884634e-05,,,27.71410097312454,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,5,4.379800520837307e-05,,,225.3624219026363,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,5,4.406299558468163e-05,,,5.291035527216289,,,,
exponential_multiplicative,power_2_smear,linearized_ols,5,4.029100819025189e-05,,,20.66131946134676,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,5,0.006614769998122938,,,4.304245544930387,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,5,0.006601581000722945,,,4.538584134873484,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,5,0.007255427000927739,,,4.246952314761436,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,5,0.007156474006478675,,,4.473953939196239,,,,
exponential_multiplicative,GD,nonlinear,5,0.09410527300497051,3819.0,26734.0,4.549678173204523,True,,heuristic,
exponential_multiplicative,GN,nonlinear,5,0.0010071260039694607,23.0,162.0,4.548419915775853,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,5,0.0013809979864163324,16.0,257.0,4.548419924498389,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,5,0.0016418010054621845,9.0,144.0,4.5264227485423545,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,5,0.0007874130096752197,9.0,143.0,4.548419923407587,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,6,5.7120007113553584e-05,,,10.580635818487751,,,,
exponential_multiplicative,log_no_smear,linearized_ols,6,4.703199374489486e-05,,,6.362994404900157,,,,
exponential_multiplicative,log_smear,linearized_ols,6,4.505799734033644e-05,,,6.315595455920951,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,6,4.461999924387783e-05,,,103.27726367715464,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,6,3.997900057584047e-05,,,50.37962486568643,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,6,4.214599903207272e-05,,,8.65824352018541,,,,
exponential_multiplicative,power_2_smear,linearized_ols,6,4.0409009670838714e-05,,,18.50976461375393,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,6,0.006946656998479739,,,6.231783200774801,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,6,0.006973370007472113,,,6.2205475206787355,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,6,0.008104772001388483,,,6.115164436139374,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,6,0.007563321007182822,,,6.092983032330563,,,,
exponential_multiplicative,GD,nonlinear,6,0.125880009989487,5000.0,35001.0,6.4062136527403695,False,,heuristic,
exponential_multiplicative,GN,nonlinear,6,0.0010514390014577657,24.0,169.0,6.426166804164011,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,6,0.0010138440120499581,11.0,183.0,6.426166810124863,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,6,0.0016204359999392182,9.0,145.0,6.409582423850928,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,6,0.000792502993135713,9.0,144.0,6.426166802128222,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,7,5.853899347130209e-05,,,12.154959669380839,,,,
exponential_multiplicative,log_no_smear,linearized_ols,7,4.725399776361883e-05,,,8.794299726688175,,,,
exponential_multiplicative,log_smear,linearized_ols,7,3.820400161202997e-05,,,8.480500105825893,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,7,4.161700780969113e-05,,,60.113857186043575,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,7,3.863099846057594e-05,,,38.23208177784865,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,7,4.1350009269081056e-05,,,10.792957776488203,,,,
exponential_multiplicative,power_2_smear,linearized_ols,7,3.9228994864970446e-05,,,17.638919463695682,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,7,0.006722428006469272,,,8.794299726688175,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,7,0.006626920003327541,,,8.480500105825893,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,7,0.007705026000621729,,,8.78023331422578,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,7,0.007204449997516349,,,8.442608736990946,,,,
exponential_multiplicative,GD,nonlinear,7,0.12235994599177502,5000.0,35001.0,8.507090516774864,False,,heuristic,
exponential_multiplicative,GN,nonlinear,7,0.0009775780054042116,23.0,162.0,8.514721741770193,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,7,0.0009772390039870515,11.0,182.0,8.514721741620448,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,7,0.0018212970026070252,9.0,144.0,8.517762465564408,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,7,0.0007699770067119971,9.0,143.0,8.51472174157591,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,8,5.867799336556345e-05,,,11.473391828984157,,,,
exponential_multiplicative,log_no_smear,linearized_ols,8,4.841000190936029e-05,,,8.538690081948957,,,,
exponential_multiplicative,log_smear,linearized_ols,8,4.267699841875583e-05,,,8.157442980852904,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,8,4.754500696435571e-05,,,44.725936225704054,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,8,4.169299791101366e-05,,,28.004377538563727,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,8,4.5809996663592756e-05,,,10.123777868341024,,,,
exponential_multiplicative,power_2_smear,linearized_ols,8,4.265099414624274e-05,,,18.512804345402554,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,8,0.00668897399737034,,,8.538690081948957,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,8,0.006467730010626838,,,8.157442980852904,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,8,0.007617078998009674,,,8.508229577736504,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,8,0.007472017998225056,,,8.064400295659425,,,,
exponential_multiplicative,GD,nonlinear,8,0.12157854900578968,5000.0,35001.0,8.231028472644342,False,,heuristic,
exponential_multiplicative,GN,nonlinear,8,0.0009086100035347044,22.0,155.0,8.237912341630603,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,8,0.0009164210059680045,11.0,175.0,8.237912341513649,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,8,0.0015452270017703995,9.0,144.0,8.248007841198381,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,8,0.0007279900019057095,9.0,143.0,8.237912341545483,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,9,5.6774006225168705e-05,,,10.693527492626881,,,,
exponential_multiplicative,log_no_smear,linearized_ols,9,4.7299006837420166e-05,,,7.964067264480304,,,,
exponential_multiplicative,log_smear,linearized_ols,9,4.483399970922619e-05,,,7.57759217012319,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,9,4.3809995986521244e-05,,,45.01649494942027,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,9,3.926300269085914e-05,,,27.22610447104923,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,9,4.1156992665492e-05,,,9.637223723296922,,,,
exponential_multiplicative,power_2_smear,linearized_ols,9,3.9341000956483185e-05,,,16.345869546198198,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,9,0.006577050007763319,,,7.964067264480304,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,9,0.0065645520080579445,,,7.57759217012319,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,9,0.007375899003818631,,,7.829723546692904,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,9,0.007193609999376349,,,7.386921285593904,,,,
exponential_multiplicative,GD,nonlinear,9,0.12580762599827722,5000.0,35001.0,7.608732610644217,False,,heuristic,
exponential_multiplicative,GN,nonlinear,9,0.001036961009958759,24.0,169.0,7.609790597604131,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,9,0.0012977769947610795,15.0,240.0,7.609790597485373,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,9,0.0016817990108393133,10.0,158.0,7.633649689971138,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,9,0.0008251619874499738,10.0,157.0,7.6097905974021,True,,zzu_screen,
exponential_additive,identity,linearized_ols,0,7.393400301225483e-05,,,9.422685031361091,,,,
exponential_additive,log_no_smear,linearized_ols,0,0.0003043329925276339,,,46.00665243316667,,,,
exponential_additive,log_smear,linearized_ols,0,4.4043001253157854e-05,,,1076.8191299823852,,,,
exponential_additive,reciprocal_no_smear,linearized_ols,0,4.567799624055624e-05,,,31.594055118344844,,,,
exponential_additive,reciprocal_smear,linearized_ols,0,3.9812992326915264e-05,,,31.59402656708757,,,,
exponential_additive,power_0.5_smear,linearized_ols,0,4.1763996705412865e-05,,,7.372155897713787,,,,
exponential_additive,power_2_smear,linearized_ols,0,4.5886990847066045e-05,,,13.628989184306036,,,,
exponential_additive,boxcox_no_smear,linearized_ols,0,0.0065865240030689165,,,7.465065339681491,,,,
exponential_additive,boxcox_smear,linearized_ols,0,0.0066079750104108825,,,6.460715953876217,,,,
exponential_additive,yeojohnson_no_smear,linearized_ols,0,0.007293321003089659,,,8.150560511925919,,,,
exponential_additive,yeojohnson_smear,linearized_ols,0,0.007168376992922276,,,7.493624113379455,,,,
exponential_additive,GD,nonlinear,0,0.12321162701118737,5000.0,35001.0,4.2766938885673005,False,,heuristic,
exponential_additive,GN,nonlinear,0,0.0010476349998498335,24.0,169.0,4.272293072436064,True,,heuristic,
exponential_additive,BFGS,nonlinear,0,0.001402585010509938,18.0,272.0,4.272293072370992,True,,heuristic,
exponential_additive,ZZU,zzu_hybrid,0,0.0020380939968163148,11.0,173.0,21.367811742725713,True,,,log_smear
exponential_additive,BFGS_warmstart,nonlinear,0,0.0009515439887763932,11.0,172.0,31.5940228979487,True,,zzu_screen,
exponential_additive,identity,linearized_ols,1,5.3997006034478545e-05,,,9.127334380749462,,,,
exponential_additive,log_no_smear,linearized_ols,1,4.4055996113456786e-05,,,19.40354532007252,,,,
exponential_additive,log_smear,linearized_ols,1,3.9852995541878045e-05,,,378.0172111414133,,,,
exponential_additive,reciprocal_no_smear,linearized_ols,1,4.762400931213051e-05,,,19.842322466751956,,,,
exponential_additive,reciprocal_smear,linearized_ols,1,3.9803999243304133e-05,,,19.842314503538383,,,,
exponential_additive,power_0.5_smear,linearized_ols,1,4.789400554727763e-05,,,6.464535419416994,,,,
exponential_additive,power_2_smear,linearized_ols,1,4.070399154443294e-05,,,16.316794610682795,,,,
exponential_additive,boxcox_no_smear,linearized_ols,1,0.006636030986555852,,,5.887310185366463,,,,
exponential_additive,boxcox_smear,linearized_ols,1,0.006834416999481618,,,6.165776732778539,,,,
exponential_additive,yeojohnson_no_smear,linearized_ols,1,0.007617851995746605,,,6.378726175722584,,,,
exponential_additive,yeojohnson_smear,linearized_ols,1,0.007837594006559812,,,6.595668528056692,,,,
exponential_additive,GD,nonlinear,1,0.1258309790136991,5000.0,35001.0,4.673146480968339,False,,heuristic,
exponential_additive,GN,nonlinear,1,0.000928902009036392,21.0,148.0,4.680148395830449,True,,heuristic,
exponential_additive,BFGS,nonlinear,1,0.00158752100833226,20.0,311.0,4.680148391122373,True,,heuristic,
exponential_additive,ZZU,zzu_hybrid,1,0.0037488809903152287,34.0,514.0,4.753218429913742,True,,,log_smear
exponential_additive,BFGS_warmstart,nonlinear,1,0.0025090909912250936,34.0,513.0,4.680148392277112,True,,zzu_screen,
exponential_additive,identity,linearized_ols,2,5.560099089052528e-05,,,8.505886993720514,,,,
exponential_additive,log_no_smear,linearized_ols,2,4.605800495482981e-05,,,58.78426191481976,,,,
exponential_additive,log_smear,linearized_ols,2,4.273800004739314e-05,,,1823.5790780250823,,,,
exponential_additive,reciprocal_no_smear,linearized_ols,2,4.484898818191141e-05,,,29.156043413257656,,,,
exponential_additive,reciprocal_smear,linearized_ols,2,4.196200461592525e-05,,,29.156032398273823,,,,
